model,startup,shutdown,n,c(n-1),c(n-2),c(n-3)
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0266667,20.0,0.0
2.0,0.0,0.0,3.0,0.0645161,20.0,0.0
2.0,0.0,0.0,3.0,0.0344828,20.0,0.0
2.0,0.0,0.0,3.0,0.147059,20.0,0.0
2.0,0.0,0.0,3.0,0.0854701,20.0,0.0
2.0,0.0,0.0,3.0,0.00518135,20.0,0.0
2.0,0.0,0.0,3.0,0.0416667,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0355872,20.0,0.0
2.0,0.0,0.0,3.0,0.0143678,20.0,0.0
2.0,0.0,0.0,3.0,0.119048,20.0,0.0
2.0,0.0,0.0,3.0,0.0460829,20.0,0.0
2.0,0.0,0.0,3.0,0.0970874,20.0,0.0
2.0,0.0,0.0,3.0,0.0268817,20.0,0.0
2.0,0.0,0.0,3.0,0.0462963,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0487805,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0438596,20.0,0.0
2.0,0.0,0.0,3.0,0.119048,20.0,0.0
2.0,0.0,0.0,3.0,0.05,20.0,0.0
2.0,0.0,0.0,3.0,0.00833333,20.0,0.0
2.0,0.0,0.0,3.0,0.00833333,20.0,0.0
2.0,0.0,0.0,3.0,0.0210526,20.0,0.0
2.0,0.0,0.0,3.0,0.00506842,20.0,0.0
2.0,0.0,0.0,3.0,0.0235849,20.0,0.0
2.0,0.0,0.0,3.0,0.0367647,20.0,0.0
2.0,0.0,0.0,3.0,0.1,20.0,0.0
2.0,0.0,0.0,3.0,0.0222222,20.0,0.0
2.0,0.0,0.0,3.0,0.04,20.0,0.0
2.0,0.0,0.0,3.0,0.0330033,20.0,0.0
2.0,0.0,0.0,3.0,0.0289855,20.0,0.0
2.0,0.0,0.0,3.0,0.0333333,20.0,0.0
2.0,0.0,0.0,3.0,0.0166667,20.0,0.0
2.0,0.0,0.0,3.0,0.04,20.0,0.0
2.0,0.0,0.0,3.0,0.0181818,20.0,0.0
2.0,0.0,0.0,3.0,0.0173783,20.0,0.0
2.0,0.0,0.0,3.0,0.0588235,20.0,0.0
2.0,0.0,0.0,3.0,0.119048,20.0,0.0
2.0,0.0,0.0,3.0,0.0214133,20.0,0.0
2.0,0.0,0.0,3.0,0.0160514,20.0,0.0
2.0,0.0,0.0,3.0,0.00826446,20.0,0.0
2.0,0.0,0.0,3.0,0.042735,20.0,0.0
2.0,0.0,0.0,3.0,0.0268817,20.0,0.0
2.0,0.0,0.0,3.0,0.030303,20.0,0.0
2.0,0.0,0.0,3.0,0.0540541,20.0,0.0
2.0,0.0,0.0,3.0,0.0243902,20.0,0.0
2.0,0.0,0.0,3.0,0.02,20.0,0.0
2.0,0.0,0.0,3.0,0.27027,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.222222,20.0,0.0
2.0,0.0,0.0,3.0,0.0606061,20.0,0.0
2.0,0.0,0.0,3.0,0.025,20.0,0.0
2.0,0.0,0.0,3.0,0.025,20.0,0.0
2.0,0.0,0.0,3.0,0.0862069,20.0,0.0
2.0,0.0,0.0,3.0,0.00773994,20.0,0.0
2.0,0.0,0.0,3.0,0.0142857,20.0,0.0
2.0,0.0,0.0,3.0,0.0180832,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.2,20.0,0.0
2.0,0.0,0.0,3.0,1.25,20.0,0.0
